Site,Dist,Site name,Start,End,Lat,Lon,STA
1000,1,KARUNJIE,1940,1983,-16.2919,127.1956,WA
1001,1,OOMBULGURRI,1914,2012,-15.1806,127.8456,WA
1002,1,BEVERLEY SP,1959,1967,-16.5825,125.4828,WA
1003,1,PAGO MISSION,1908,1940,-14.1331,126.7158,WA
1004,1,KUNMUNYA,1915,1948,-15.4167,124.7167,WA
1005,1,WYNDHAM PORT,1886,1995,-15.4644,128.1,WA
1006,1,WYNDHAM AERO,1951,..,-15.51,128.1503,WA
1007,1,TROUGHTON ISLAND,1956,..,-13.7542,126.1485,WA
1008,1,MOUNT ELIZABETH OLD SITE,1959,1978,-16.3017,126.1825,WA
1009,1,KURI BAY,1961,2012,-15.4875,124.5222,WA
1010,1,THEDA,1965,..,-14.7885,126.4963,WA
1011,1,PANTA DOWNS,1966,1969,-16.0497,124.95,WA
1012,1,MITCHELL PLATEAU,1968,2002,-14.7925,125.8258,WA
1013,1,WYNDHAM,1968,..,-15.4869,128.1236,WA
1014,1,EMMA GORGE,1998,..,-15.9083,128.1286,WA
1015,1,KING RIVER PUMPING STN,1923,1931,-15.6,128.0833,WA
1016,1,CARSON RIVER STATION,1970,1997,-14.4861,126.7664,WA
1017,1,NULLA NULLA,1923,1926,-15.5,127.8333,WA
1018,1,MOUNT ELIZABETH,1973,..,-16.4181,126.1025,WA
1019,1,KALUMBURU,1997,..,-14.2964,126.6453,WA
1020,1,TRUSCOTT,1944,..,-14.09,126.3867,WA
1021,1,KALUMBURU MISSION,1941,2005,-14.2961,126.6431,WA
1022,1,WYNDHAM SIX MILE HOTEL,1900,1917,-15.4997,128.1997,WA
1023,1,EL QUESTRO,1967,..,-16.0086,127.9806,WA
1024,1,ELLENBRAE,1986,..,-15.9572,127.0628,WA
1025,1,DOONGAN,1988,..,-15.3797,126.3114,WA
1026,1,DRYSDALE RIVER STATION,1988,..,-15.7031,126.3781,WA
1027,1,DIGGERS REST,1971,..,-15.6394,128.0803,WA
1028,1,HOME VALLEY,1991,..,-15.7231,127.8292,WA
1029,1,WYNDHAM NORTH,1989,1996,-15.4467,128.1075,WA
1030,1,KIMBERLEY COASTAL CAMP,1995,..,-14.5786,125.9133,WA
1031,1,FARAWAY BAY,1996,..,-13.96,127.1964,WA
1032,1,MCGOWAN ISLAND,1997,2000,-14.1472,126.6483,WA
1033,1,DRYSDALE RIVER AIRSTRIP,1999,2003,-15.7119,126.3817,WA
1034,1,WEST BASTION,2001,..,-15.4533,128.1239,WA
1035,1,PARRY CREEK FARM,2002,..,-15.5972,128.2783,WA
